source,destination,success,hops,reason,path
1090,1089,False,50,maximum hops reached,1090 -> 265 -> 334 -> 343 -> 222 -> 192 -> 47 -> 435 -> 376 -> 307 -> 268 -> 140 -> 344 -> 886 -> 185 -> 983 -> 357 -> 356 -> 373 -> 176 -> 312 -> 834 -> 218 -> 767 -> 258 -> 529 -> 309 -> 37 -> 783 -> 196 -> 514 -> 602 -> 500 -> 726 -> 788 -> 852 -> 538 -> 493 -> 830 -> 613 -> 530 -> 732 -> 727 -> 599 -> 740 -> 634 -> 889 -> 314 -> 948 -> 113 -> 527
890,1088,False,0,no reachable relay,890
955,912,False,0,no reachable relay,955
1020,962,False,50,maximum hops reached,1020 -> 299 -> 364 -> 307 -> 357 -> 397 -> 185 -> 889 -> 344 -> 541 -> 268 -> 538 -> 222 -> 192 -> 376 -> 343 -> 830 -> 435 -> 783 -> 356 -> 834 -> 886 -> 218 -> 767 -> 47 -> 788 -> 373 -> 514 -> 312 -> 529 -> 726 -> 176 -> 983 -> 37 -> 948 -> 196 -> 959 -> 140 -> 870 -> 113 -> 1015 -> 314 -> 500 -> 560 -> 732 -> 771 -> 493 -> 1028 -> 258 -> 1026 -> 10
864,949,False,0,no reachable relay,864
1023,1058,False,0,no reachable relay,1023
1020,1038,False,25,no reachable relay,1020 -> 66 -> 932 -> 288 -> 891 -> 430 -> 1090 -> 423 -> 1033 -> 65 -> 796 -> 40 -> 414 -> 300 -> 125 -> 135 -> 508 -> 137 -> 349 -> 271 -> 324 -> 90 -> 172 -> 131 -> 273 -> 750
1074,1107,False,50,maximum hops reached,1074 -> 225 -> 319 -> 113 -> 383 -> 388 -> 179 -> 174 -> 190 -> 939 -> 410 -> 908 -> 417 -> 353 -> 188 -> 857 -> 10 -> 544 -> 402 -> 371 -> 140 -> 329 -> 71 -> 713 -> 147 -> 809 -> 335 -> 397 -> 53 -> 176 -> 6 -> 196 -> 586 -> 905 -> 348 -> 356 -> 761 -> 314 -> 782 -> 1085 -> 307 -> 316 -> 613 -> 669 -> 1017 -> 334 -> 663 -> 435 -> 789 -> 192 -> 831
1047,885,False,0,no reachable relay,1047
872,987,False,50,maximum hops reached,872 -> 435 -> 47 -> 37 -> 357 -> 356 -> 268 -> 196 -> 185 -> 314 -> 344 -> 886 -> 218 -> 192 -> 312 -> 343 -> 373 -> 307 -> 222 -> 176 -> 376 -> 258 -> 529 -> 309 -> 493 -> 783 -> 852 -> 834 -> 244 -> 500 -> 740 -> 514 -> 297 -> 613 -> 602 -> 113 -> 727 -> 140 -> 959 -> 174 -> 788 -> 527 -> 767 -> 692 -> 726 -> 732 -> 819 -> 538 -> 983 -> 530 -> 948
1105,862,False,0,no reachable relay,1105
1030,928,False,6,no reachable relay,1030 -> 270 -> 1109 -> 338 -> 483 -> 650 -> 355
887,967,False,0,no reachable relay,887
1032,1109,True,6,reached destination,1032 -> 307 -> 886 -> 222 -> 379 -> 2 -> 1109
1003,967,False,0,no reachable relay,1003
942,989,False,47,no reachable relay,942 -> 410 -> 939 -> 190 -> 1011 -> 383 -> 903 -> 179 -> 334 -> 402 -> 335 -> 6 -> 388 -> 319 -> 113 -> 348 -> 371 -> 10 -> 329 -> 188 -> 316 -> 417 -> 53 -> 71 -> 353 -> 147 -> 45 -> 140 -> 55 -> 397 -> 505 -> 176 -> 761 -> 908 -> 368 -> 586 -> 1017 -> 307 -> 669 -> 52 -> 782 -> 396 -> 663 -> 356 -> 789 -> 713 -> 831 -> 207
945,888,True,4,reached destination,945 -> 203 -> 100 -> 314 -> 888
1020,932,True,2,reached destination,1020 -> 300 -> 932
938,1042,False,50,maximum hops reached,938 -> 356 -> 357 -> 538 -> 268 -> 634 -> 185 -> 889 -> 344 -> 886 -> 192 -> 222 -> 343 -> 830 -> 435 -> 783 -> 307 -> 376 -> 767 -> 983 -> 373 -> 788 -> 309 -> 834 -> 948 -> 218 -> 514 -> 726 -> 529 -> 560 -> 500 -> 583 -> 732 -> 771 -> 1097 -> 47 -> 599 -> 602 -> 870 -> 37 -> 959 -> 312 -> 1015 -> 176 -> 1028 -> 196 -> 1026 -> 397 -> 940 -> 140 -> 1049
1071,944,False,0,no reachable relay,1071
900,1102,False,0,no reachable relay,900
