source,destination,success,hops,reason,path
138,241,False,50,maximum hops reached,138 -> 1000 -> 936 -> 125 -> 1093 -> 289 -> 1009 -> 105 -> 558 -> 86 -> 757 -> 183 -> 1098 -> 287 -> 465 -> 219 -> 970 -> 344 -> 730 -> 371 -> 871 -> 111 -> 572 -> 397 -> 420 -> 272 -> 815 -> 701 -> 632 -> 477 -> 793 -> 649 -> 1011 -> 301 -> 950 -> 314 -> 73 -> 1078 -> 296 -> 749 -> 189 -> 597 -> 28 -> 456 -> 218 -> 779 -> 290 -> 1021 -> 211 -> 952 -> 185
265,0,True,5,reached destination,265 -> 777 -> 71 -> 905 -> 727 -> 0
296,212,True,6,reached destination,296 -> 631 -> 44 -> 657 -> 25 -> 448 -> 212
188,153,True,6,reached destination,188 -> 667 -> 59 -> 839 -> 764 -> 985 -> 153
29,182,True,3,reached destination,29 -> 621 -> 1031 -> 182
243,65,False,0,no reachable relay,243
231,51,False,0,no reachable relay,231
4,147,True,6,reached destination,4 -> 860 -> 242 -> 474 -> 1006 -> 567 -> 147
102,104,True,3,reached destination,102 -> 1122 -> 771 -> 104
172,26,False,50,maximum hops reached,172 -> 1039 -> 129 -> 985 -> 96 -> 765 -> 35 -> 809 -> 81 -> 1135 -> 153 -> 794 -> 216 -> 1087 -> 438 -> 375 -> 1029 -> 159 -> 1024 -> 114 -> 907 -> 398 -> 789 -> 71 -> 883 -> 1157 -> 1062 -> 104 -> 841 -> 54 -> 920 -> 278 -> 877 -> 372 -> 237 -> 905 -> 240 -> 1101 -> 283 -> 688 -> 33 -> 488 -> 218 -> 512 -> 290 -> 1092 -> 201 -> 684 -> 97 -> 787 -> 189
289,39,True,5,reached destination,289 -> 926 -> 80 -> 962 -> 848 -> 39
78,297,False,50,maximum hops reached,78 -> 1019 -> 950 -> 446 -> 1157 -> 172 -> 787 -> 153 -> 1092 -> 71 -> 835 -> 189 -> 823 -> 237 -> 765 -> 1054 -> 438 -> 1042 -> 290 -> 790 -> 97 -> 994 -> 335 -> 201 -> 1023 -> 218 -> 854 -> 81 -> 1091 -> 96 -> 614 -> 129 -> 455 -> 41 -> 832 -> 392 -> 287 -> 1097 -> 219 -> 1010 -> 86 -> 1035 -> 105 -> 856 -> 296 -> 996 -> 125 -> 964 -> 284 -> 772 -> 54
51,12,True,3,reached destination,51 -> 960 -> 1099 -> 12
173,236,True,3,reached destination,173 -> 608 -> 881 -> 236
19,158,False,50,maximum hops reached,19 -> 1058 -> 706 -> 210 -> 822 -> 293 -> 1057 -> 120 -> 807 -> 78 -> 583 -> 58 -> 647 -> 365 -> 638 -> 367 -> 851 -> 198 -> 759 -> 182 -> 808 -> 139 -> 908 -> 251 -> 742 -> 900 -> 444 -> 1043 -> 227 -> 463 -> 543 -> 272 -> 644 -> 17 -> 780 -> 70 -> 1139 -> 196 -> 1070 -> 76 -> 1037 -> 27 -> 1158 -> 31 -> 551 -> 83 -> 875 -> 183 -> 857 -> 238 -> 1050
280,264,True,3,reached destination,280 -> 518 -> 821 -> 264
190,210,True,5,reached destination,190 -> 1089 -> 306 -> 349 -> 706 -> 210
230,266,True,3,reached destination,230 -> 934 -> 895 -> 266
122,227,False,0,no reachable relay,122
