source,destination,greedy_success,greedy_hops,greedy_reason,greedy_path,dijkstra_success,dijkstra_hops,dijkstra_delay_ms,dijkstra_path
999,884,False,50,maximum hops reached,999 -> 397 -> 875 -> 140 -> 1066 -> 10 -> 538 -> 417 -> 634 -> 190 -> 192 -> 402 -> 307 -> 6 -> 343 -> 410 -> 435 -> 179 -> 344 -> 188 -> 599 -> 335 -> 113 -> 642 -> 196 -> 383 -> 356 -> 348 -> 176 -> 577 -> 37 -> 501 -> 1085 -> 71 -> 732 -> 319 -> 613 -> 316 -> 782 -> 514 -> 147 -> 788 -> 586 -> 500 -> 669 -> 529 -> 713 -> 767 -> 761 -> 905 -> 388,True,2,7.765650723265136,999 -> 613 -> 884
935,1070,False,0,no reachable relay,935,True,2,6.525324260986842,935 -> 402 -> 1070
952,918,False,0,no reachable relay,952,True,7,45.33380830360406,952 -> 684 -> 685 -> 575 -> 851 -> 852 -> 493 -> 918
1036,901,False,0,no reachable relay,1036,False,0,inf,1036
906,939,False,0,no reachable relay,906,True,2,4.885453109538226,906 -> 586 -> 939
1004,1009,False,9,no reachable relay,1004 -> 266 -> 963 -> 379 -> 954 -> 69 -> 1097 -> 238 -> 969 -> 298,True,9,56.08197533353196,1004 -> 309 -> 312 -> 343 -> 922 -> 809 -> 810 -> 667 -> 518 -> 1009
1050,1052,False,0,no reachable relay,1050,True,2,11.905145757455578,1050 -> 501 -> 1052
1070,975,False,0,no reachable relay,1070,True,2,3.6302584161799025,1070 -> 635 -> 975
939,934,True,2,reached destination,939 -> 335 -> 934,True,2,5.528166338810086,939 -> 789 -> 934
884,1068,False,0,no reachable relay,884,True,2,11.206246224315844,884 -> 809 -> 1068
937,1095,False,0,no reachable relay,937,True,3,14.90363735226208,937 -> 307 -> 417 -> 1095
1084,950,False,0,no reachable relay,1084,True,7,57.31099184874545,1084 -> 311 -> 48 -> 49 -> 47 -> 1089 -> 732 -> 950
955,965,False,0,no reachable relay,955,True,2,11.826428508947693,955 -> 113 -> 965
941,933,False,0,no reachable relay,941,True,2,7.410394527003444,941 -> 446 -> 933
1020,901,False,49,no reachable relay,1020 -> 299 -> 52 -> 410 -> 939 -> 190 -> 1011 -> 383 -> 903 -> 179 -> 334 -> 402 -> 335 -> 6 -> 388 -> 319 -> 113 -> 348 -> 371 -> 10 -> 329 -> 188 -> 316 -> 417 -> 53 -> 71 -> 353 -> 147 -> 45 -> 140 -> 55 -> 397 -> 505 -> 176 -> 761 -> 908 -> 368 -> 586 -> 942 -> 307 -> 669 -> 103 -> 782 -> 396 -> 663 -> 356 -> 789 -> 713 -> 831 -> 207,True,7,30.356424230312946,1020 -> 135 -> 891 -> 625 -> 618 -> 1006 -> 335 -> 901
973,936,False,50,maximum hops reached,973 -> 401 -> 318 -> 179 -> 939 -> 410 -> 1011 -> 383 -> 908 -> 190 -> 903 -> 402 -> 905 -> 6 -> 1017 -> 348 -> 37 -> 10 -> 316 -> 417 -> 45 -> 188 -> 389 -> 397 -> 329 -> 140 -> 53 -> 176 -> 319 -> 307 -> 761 -> 1085 -> 71 -> 207 -> 147 -> 713 -> 335 -> 669 -> 1044 -> 113 -> 55 -> 586 -> 979 -> 388 -> 353 -> 782 -> 142 -> 663 -> 356 -> 809 -> 371,True,5,32.01018584939,973 -> 310 -> 7 -> 281 -> 45 -> 936
887,939,False,0,no reachable relay,887,True,2,10.59216546737838,887 -> 397 -> 939
1054,942,False,0,no reachable relay,1054,True,6,30.111358084125932,1054 -> 259 -> 377 -> 100 -> 103 -> 368 -> 942
1004,898,False,50,maximum hops reached,1004 -> 47 -> 307 -> 1066 -> 435 -> 1026 -> 356 -> 999 -> 343 -> 1072 -> 192 -> 371 -> 37 -> 140 -> 344 -> 113 -> 185 -> 176 -> 538 -> 196 -> 397 -> 218 -> 10 -> 268 -> 417 -> 357 -> 613 -> 940 -> 388 -> 500 -> 334 -> 599 -> 314 -> 402 -> 529 -> 831 -> 732 -> 258 -> 190 -> 514 -> 71 -> 788 -> 188 -> 493 -> 410 -> 767 -> 147 -> 834 -> 782 -> 852 -> 501,True,3,19.5874831560757,1004 -> 309 -> 344 -> 898
936,991,False,0,no reachable relay,936,True,2,5.535333721273586,936 -> 402 -> 991
1075,1044,False,0,no reachable relay,1075,True,2,5.2775164804672565,1075 -> 586 -> 1044
866,962,False,0,no reachable relay,866,True,3,14.043190747597897,866 -> 397 -> 192 -> 962
989,908,False,0,no reachable relay,989,True,2,3.974396511885415,989 -> 586 -> 908
1104,1039,False,0,no reachable relay,1104,True,8,39.65287778103047,1104 -> 761 -> 1018 -> 548 -> 618 -> 625 -> 891 -> 621 -> 1039
