name,lat,lon,alt_km,status
Wailuku - HI,20.9005,-156.5046,0.0,operational
Warra - Australia,-26.9833,150.9333,0.0,operational
Warren - MO,38.7728,-91.1643,0.0,operational
Watkins - CO,39.7582,-104.617,0.0,operational
Weehawken - NJ,40.7616,-74.0253,0.0,operational
Wellington - UT,39.5401,-110.6928,0.0,operational
West Jordan - UT,40.6198,-111.9863,0.0,operational
Westbury - NY,40.7559,-73.5579,0.0,operational
Westminster - CO,39.8845,-105.0802,0.0,operational
Wherstead - UK,52.0333,1.15,0.0,planned
Wichita Falls - TX,33.9137,-98.4934,0.0,planned
Willemstad - Curaçao,12.1696,-68.99,0.0,operational
Willows - Australia,-19.3667,146.7833,0.0,planned
Wise - VA,36.977333,-82.528,0.0,operational
Wola Krobowska - Poland,50.35,20.55,0.0,operational
Woodwalton - UK,52.4167,-0.2833,0.0,planned
Yamaguchi - Japan,34.1861,131.4706,0.0,operational
York - PA,39.9626,-76.7277,0.0,planned
